Chamado;Serviço;Prioridade;Descrição
INC-00000004631;Teams;Muito Baixa;não tem como ligar ao fone .sem conseguir falar no teams
INC-00000004632;ELFA;Muito Baixa;Documento BL1091-0023-CC-ETE-1000 - Aprovado, no módulo da qualidade. - Temos um projeto novo da Anglo que será tramitado por outro sistema, criamos uma nova estrutura para finalidade de retorno (Anglo-Aconex-Não utilizar). O problema pode estar vinculado a está nova estrutura criada.
INC-00000004633;Hardware;Muito Baixa;"Venho, por meio deste, informar que o celular corporativo que utilizo foi furtado enquanto me dirigia à academia na última segunda-feira (20/01). Já realizei o Boletim de Ocorrência online, que segue em anexo para registro. Também estou em contato com um profissional (Policial Civil) para tentar rastrear e recuperar o aparelho utilizando o IMEI.
Gostaria de pedir desculpas pelo ocorrido e, para minimizar os transtornos, pergunto se seria possível solicitar apenas um novo chip corporativo. Pretendo utilizá-lo no meu celular pessoal, evitando a necessidade de portar dois aparelhos e reduzindo o risco de uma situação similar. 
•	Informações do Celular Corporativo:
Número: (91) 99127-8297
IMEI 1: 352800823919276
IMEI 2: 352800823919284
Fico à disposição para que sejam realizados os procedimentos e quaisquer esclarecimentos necessários após o acontecimento."
INC-00000004634;Hardware;Muito Baixa;Mouse com os seguintes problemas: Duplo click com o botão esquerdo e problema no scroll.
INC-00000004635;Microsoft Power BI;Muito Baixa;BI de vagas - Não conseguimos atualizar os dados do BI de vagas, ele está desatualizado e não está puxando as informações corretamente.
INC-00000004636;Revit 2024;Muito Baixa;Quando vou abrir modelo, o revit fecha
INC-00000004637;Microsoft 365 - Plano Businnes;Muito Baixa;"Problema na conta Blossom por conta de atualização da segurança.
Estava com um problema na minha conta principal da Blossom por conta de uma atualização na segurança de todas as maquinas, o problema já foi alinhado e sanado. agradeço a Matheus e a equipe pelo apoio."
INC-00000004638;Microsoft 365 - Plano Businnes;Baixa;não está conseguindo acessar o sharepoint. Estou abrindo chamado para ele.
INC-00000004639;Microsoft Power BI;Média;"Desde o dia 24/01/2025, não estou conseguindo acessar o relatório do Power BI para exportar a planilha de profissionais necessária para atualização no NETSUITE.

Ressalto que essas informações são extremamente importantes, e a falta delas impacta diretamente os demais departamentos que utilizam o sistema Oracle. Por isso, peço que seja regularizado com urgência."
INC-00000004640;Microsoft 365 - Plano Businnes;Muito Baixa;Gostaria de verificar se tem como dar uma olhada no forms de solicitação de EPI , que algumas solicitaçõe realizadas não estão aparecendo na lista de EPI no sharepoint solicitado conforme em anexo, foi solicitado em 29.01.2025 e no sharepoint não esta aparecendo
INC-00000004641;Acesso (conexão) Internet Belo Horizonte;Baixa;Usuários Terceiros não estão conseguindo acessar a rede Wi-FI em Belo Horizonte.
INC-00000004642;Teams;Muito Baixa;Teams não executa. Erro de inicialização
INC-00000004643;Teams;Muito Baixa;Não quer abrir
INC-00000004644;Microsoft 365 - Plano Businnes;Média;"Microsoft FORMS
Olá! Identifiquei que o gestor Marcelo registrou a mudança de área do profissional Eduardo Machado via Forms, mas não recebemos a atualização. 

Além disso, percebi que a planilha de respostas não é atualizada desde agosto/2024. Poderiam verificar e ajustar, por gentileza? 

Informações adicionais: Olá! Estou reforçando que o item 5 – disciplina – não consta a disciplina GG nem nenhuma do SGA. Peço, por gentileza, que realizem a atualização o mais breve possível. Conto com vocês!"
INC-00000004645;Hardware;Muito Baixa;Mouse esta com defeito
INC-00000004646;Timesheet - ELFA;Baixa;"Os apontamentos do timesheet que são feitos nas disciplinas GP, GE, DC não estão aparecendo para o aprovador apontar no timesheet. 
Informações adicionais: Pode ser que tenha algum erro no código quando ativa o líder da disciplina ou não."
INC-00000004647;Microsoft 365 - Plano Businnes;Baixa;Não estou conseguindo acessar os aplicativos Blossom
INC-00000004648;Teams;Muito Baixa;Venho tendo problemas no Teams ao tentar me conectar.
INC-00000004649;Teams;Muito Baixa;O app do Teams não abre.
INC-00000004650;AutoCAD;Muito Baixa;O Autocad não seleciona automaticamente uma fonte que seja similar ao usado pelo criador do arquivo. Tentei colar as fontes de um colega, mas não tenho permissão.
INC-00000004651;Hardware;Baixa;Na semana passada houve esta falha de tela negra e ruido estridente. Desliguei o latop por 2 min e voltou a funcionar normalmente. Ontem apresentou esta falha e hje, já por 2 vezes, na parte da manhã e agora, à tarde.
INC-00000004652;AutoCAD;Baixa;"O Serviço afetado é: AutoCAD 2024 
Meu AutoCAD está apresentando a mensagem de limite de dispositivos excedidos, com isso não consigo abrir arquivos dwg indispensáveis para a realização de minhas atividades."
INC-00000004653;Teams;Muito Baixa;Audio do microfone não funciona no Teams.
INC-00000004654;Repositório de arquivos - SharePoint e OneDrive;Muito Alta;"Toda a pasta ""07_Propostas Técnicas"" do diretório do ""EXECUÇÃO"" foi excluído da rede. Identificamos que as exclusões estão sendo feitas pelo usuário do Ricardo Arthur Reis Napoleão. O colaborador não sabe por qual motivo os arquivos estão sendo excluídos. É possível que outros diretórios tenham sido afetados, mas só identifiquei exclusões na pasta supracitada. Sugiro verificar outras possíveis exclusões acidentais."
INC-00000004655;Repositório de arquivos - SharePoint e OneDrive;Muito Alta;As exclusões iniciaram no dia 04/02/2025 a partir de 14:40. E desde então arquivos foram sendo excluídos. Ainda está acontecendo. Foi feito restore do backup mas os arquivos continuaram a ser excluídos. Nem todos os arquivos e pastas estavam na lixeira. Usuários afetados até aqui: Ricardo Napoleão, Rafael Belo, e Vinícius
INC-00000004656;Hardware;Muito Baixa;Computador, apesar de estar com o cabo de rede conectado, está se conectando somente via wireless. Nas chamadas via Teams, fica muito instável. Ao pedir para corrigir problema aparece mensagem indicando que o cabo pode estar desconectado.
INC-00000004657;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;Não estou conseguindo compartilhar arquivos para pessoas da Anglo e outros
INC-00000004658;Teams;Muito Baixa;No Teams, quando eu entro em EQUIPES, não me aparece mais todas as que eu tinha criado ou que participado, dessa forma, alguns registros importantes como arquivos, postagem dos participantes, etc.. não estão mais disponíveis.
INC-00000004659;Teams;Muito Baixa;Teams e desktop connector Não estão abrindo
INC-00000004660;ELFA;Muito Baixa;"Controle do fluxo de processo de desenhos de engenharia - ELFA - Ao baixar a GRD do Elfa, ela vem com rótulo ""Interno"", precisamos que documentos baixados do Elfa (GRD e Documentos da engenharia) sejam publicos, visto que o que baixamos do Elfa é para envio pro cliente."
INC-00000004661;Hardware;Muito Baixa;Mouse não funciona botão direito
INC-00000004662;AutoCAD;Muito Baixa;CAD não abre e apresenta mensagem de FATAL ERROR
INC-00000004663;Hardware;Muito Baixa;Notebook esta apresentando lentidão extrema, solicito que seja formatado.
INC-00000004664;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa; Aparece aviso de problema de sincronização e o volume da Lixeira esta aumentando.
INC-00000004665;Microsoft 365 - Plano Businnes;Muito Baixa;"Notificação de bloqueio do Windows defender
Solicito a verificação de meu laptop o Windows defender está reportando a todo momento, conteúdo bloqueado pelo administrador da TI, referente a um site mmop.com, preciso de apoio para certificar o que está ocorrendo."
INC-00000004666;NetSuite - Faturamento e Cancelamento;Baixa;"Precisamos emitir uma carta de correção de um documento fiscal emitido INV654 - mas esta funcionalidade do sistema não foi ensinada nos treinamentos. O perfil de Analista de Faturamento não tem acesso. Tentamos com o perfil de administrador e também não conseguimos evoluir no preenchimento do formulário. O campo ""cliente"" não abre para edição e manda selecionar uma ""entrada""... mas não localizamos este campo."
INC-00000004667;Repositório de arquivos - SharePoint e OneDrive;Baixa;"Gentileza  auditar os acessos a seguir:

- Todos os acessos a arquivos SharePoint e OneDrive no período de 01.01.2025 até a data atual da usuária falves@blossomconsult.com;
- Todas as alterações de Rótulo de Confidencialidade ocorridas no período de 01.01.2025 até a data atual da usuária falves@blossomconsult.com;  

Salvar os arquivos com o Rótulo “Confidencial – ITSM” no diretório SO\Incidentes\INC-XXXXXXXXX e me comunicar para que seja disponibilizado à área de Gente e Gestão."
INC-00000004668;Teams;Muito Baixa;O fone da Dayse Guerra não está funcionando para falar, mas ela consegue ouvir. Acredito que seja necessário ajustar algo no computador. Solicito apoio para a configuração.
INC-00000004669;Revit 2024;Muito Baixa;Não consigo acessar os modelos da nuvem do Revit
INC-00000004670;NetSuite - Faturamento e Cancelamento;Média;"O PVA informou erro ao validar o total de débitos e o total de créditos quando comparado a soma dos lançamentos de débitos ou de créditos em períodos de determinadas contas

A conta 1.1.1.01.0002 possui saldo inicial 1.682,23.
No período de maio ela recebeu dois lançamentos de débito com total de R$5974,01, mas a informação gerada no arquivo foi de R$6.000,00.
A mesma conta recebeu quatro lançamentos de crédito com total de R$453,52, porém a informação gerada no arquivo é de R$479,51."
INC-00000004671;NetSuite - Fechamento Contábil;Alta;"O PVA tem apresentado erro no registro I200, devido a divergências apresentadas no registro filho, I250

O lançamento contábil 20240508000016419 possui valor de lançamento 513,49, porém o registro filho I250 está apresentando além dos 513,49 devido, o valor de 114,78 de outro lançamento contábil.
E o lançamento contábil 20240508000016420 que deveria apresentar o registro filho com débito e crédito de 114,78, é apresentado também o débito e o crédito de 513,49.
O registro I200 sempre apresentará o resultado da soma das partidas que tenham o mesmo indicador, débito ou crédito."
INC-00000004672;ELFA;Baixa;"Controle do fluxo de processo de desenhos de engenharia - ELFA 

Esse incidente parece ser relacionado a um sistema de gerenciamento de processos ou documentos de engenharia, mais especificamente, ao controle do fluxo de processos de desenhos de engenharia para a ELFA. O incidente foi registrado com um código de erro e inclui a solicitação de retorno de documentos específicos para a GRD, parece que houve algum tipo de problema no fluxo de documentos de engenharia, possivelmente relacionado ao envio ou processamento desses documentos."
INC-00000004673;Microsoft 365 - Plano Businnes;Muito Baixa;"One Drive
Repositório de arquivos - SharePoint e OneDrive"
INC-00000004674;Hardware;Muito Baixa;Mielley esta elgando que seu computadro não esta funcionando da forma correta, com dificuldade de eneviar email, teams etc, favor verficar com certa urgência, pois ela esta participando de processo de auditoria da Hydro
INC-00000004675;Microsoft Power BI;Média;Planilha de vagas BI .As novas vagas em aberto não estão aparecendo na planilha. Essa planilha é primordial para o processo de recrutamento e seleção, precisamos sanar o problema com urgência.
INC-00000004676;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA  -  Controle do fluxo de processo de desenhos de engenharia - ELFA.
INC-00000004677;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;Sincronismo
INC-00000004678;Foxit;Muito Baixa;Não estou conseguindo abrir PDFs. Solicita a instalação/atualização de direitos do windos.
INC-00000004679;Hardware;Muito Baixa;não esta ligando a tela do computador
INC-00000004680;e-mail;Muito Baixa;meu e-mail não esta abrindo , preciso dele urgente para trabalhar
INC-00000004681;NetSuite - Faturamento e Cancelamento;Alta;"Classificação: Pedido ao Recebimento

Serviço: Faturamento e Cancelamento

Descrição: Preciso cancelar 3 documentos fiscais (NF INV669 - INV663 - INV660), mas aparece erro de cálculo de imposto."
INC-00000004682;Teams;Muito Baixa;O teams está instável, fecha sozinho, trava a tela, mesmo a internet estando ok. Quando vou compartilhar a minha tela, apresenta tela preta (erro intermitente).
INC-00000004683;ELFA;Muito Baixa;"O Serviço afetado é: ELFA DOC
O código de erro (se houver) é: • Liberar elfa – parte curriculo no padrão ( somente essa opção. para setor comercial) Rafael Patrus | Cauã siqueira | Jefferson figueiredo| Vinicius Vasconcelos • Liberar elfa – parte do banco ( somente essa opção para setor fincanceiro) Simone mendes| Claudia Amaral| Luciano Barsi) • Retirar a opção BL da parte de cadastro ( não ultilizamos a função) • Acrescentar cliente Samarco-MG na aba cliente • Colocar na aba pessoais o “numeração de calça” • Colocar na aba cadastro “ data de nascimento”"
INC-00000004684;Hardware;Muito Baixa;Tela não liga e não apresenta imagem.
INC-00000004685;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;maquina com lentidão e não sincronizando arquivos...
INC-00000004686;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;"O Serviço afetado é: Sem acesso aos PDFs de Padrão de Projeto (PP) e Não sincronização de arquivos. 

Informações adicionais: 1. Minha máquina não está sincronizando corretamente os arquivos da rede. 
2. Não estou conseguindo ter acesso aos PPs, restrição do Fox Read em relação aos rótulos (interno/público)"
INC-00000004687;Microsoft Outlook;Muito Baixa;"O Serviço afetado é: E-mail 
O código de erro é: Falha no upload de e-mail devido a um problema de permissão.  Esse problema acontece ao incluir o e-mail do projeto (build) como cópia."
INC-00000004688;Oracle NetSuite;Alta;Tentei subir uma atualização como sempre faço, entretanto, constou erro.
INC-00000004689;Automação Formulário;Baixa;"Boa tarde,

Peço verificar porque não foi enviado o e-mail automático referente à RDM 196.

Foi preenchido o formulário e registrada a RDM na lista, mas o e-mail automático não foi enviado."
INC-00000004690;Teams;Muito Baixa;Audio do Teams não está funcionando - Euro Advíncula Abreu
INC-00000004691;Teams;Muito Baixa;Em reuniões o som de quem ouve, tem estado chiado e ruim.
INC-00000004692;Hardware;Baixa;Pedido para reiniciar unidade para reparar erro.
INC-00000004693;Microsoft Outlook;Alta;Prezados, bom dia! Recebi um e-mail informando que o contasapagar@blossomconsult.com precisa ser autenticado novamente. Tentei corrigir mas não tive êxito. Peço auxílio.
INC-00000004694;3DS Max 2024;Muito Baixa;Data e Hora Errados
INC-00000004695;Blossom Digital;Muito Baixa;Perdeu o acesso ao sharepoint da Blossom.
INC-00000004696;Oracle NetSuite;Média;Prezados, o registo F600 não está sendo apresentado nos arquivos EFD Contribuições.
INC-00000004697;Microsoft Outlook;Baixa;Não estou conseguindo abrir solicitação de agendamento de exame médico. Quando clico, aparece o erro abaixo:
INC-00000004698;Microsoft Excel;Muito Baixa;Problema no Excel e no fone de ouvido
INC-00000004699;Microsoft Outlook;Muito Baixa;Não aparece a Sala circular para fazer agendamento
INC-00000004700;Oracle NetSuite;Alta;"Classificação: Localização Brasileira

Serviço: Livros Fiscais

Descrição: Prezados, o relatório de apuração de ISS da Filial Barcarena está sendo gerado zerado. Peço apoio na resolução do problema."
INC-00000004701;Microsoft 365 - Plano Businnes;Muito Baixa;Acesso ao E-mail e ao Teams  - : A colaboradora Tayná trocou de telefone, não está conseguindo acessar o autenticador para ter acesso ao e-mail e ao teams.
INC-00000004702;Teams;Muito Baixa;fone de ouvido nao funciona no teams
INC-00000004703;Hardware;Muito Baixa;Não esta ligando o computador do Pedro Henrique Soares Ramos
INC-00000004704;Microsoft 365 - Plano Businnes;Muito Baixa;Problema de acesso -A Kenya perdeu todo o acesso ao sistema Blossom e não tem o autenticator no celular. ela pediu para ligar 31 9 9212-0044
INC-00000004705;Hardware;Média;Simone, Ana Cláudia, Carlos, ... a tela apaga, volta, fica só a lixeira, perde-se o trabalho e quando abre os ícones estão todos fora do lugar. Aconteceu agora e a penúltima vez foi quando colocaram a tela das mulheres....
INC-00000004706;Hardware;Muito Baixa;O notebook apresenta tela azul e trava todas as funções, só retorna após reiniciar.
INC-00000004707;Sistema Operacional;Muito Baixa;Assim que o aplicativo da calculadora é aberto ele fecha automaticamente.
INC-00000004708;Acrobat Reader;Muito Baixa;Não consigo acesso/editar o arquivo em PDF baixado do ELFA (BL1091-0023-ME-LEI-1000-CV). Ao abrir dom Foxit consigo visualizar o arquivo porém não consigo editar (etapa necessária a verificação/emissão de documentos). Já pelo Adobe, o arquivo não abre, fica apenas com tela preta. Este arquivo abre normalmente em leitores web. A primeira versão deste arquivo foi criado em minha máquina e carregada no ELFA, um segundo colaborador baixou e acrescentou comentários, caberia ao fluxo agora eu verificar e marcar os comentários feitos.
INC-00000004709;e-mail;Muito Baixa;O Clecio tentou enviar um e-mail para o contas a pagar e não recebemos. Para fazer um teste, também tentei mandar um e-mail e não recebemos e voltou a mensagem acima.
INC-00000004710;Microsoft Outlook;Baixa;O Office não está carregando a licença. Para abrir arquivos tenho de entrar em modo de segurança.
INC-00000004711;Microsoft 365 - Plano Businnes;Baixa;Esqueci meu telefone não consigo validar meu login no e-mail.
INC-00000004712;Hardware;Muito Baixa;Não a espaço suficiente na unidade C
INC-00000004713;ELFA;Baixa;"Timesheet - ELFA 
Alterar o apontamento do Arthur Brito Diniz dos dias 10/03 e 11/03 para Treinamento ""Modelagem e Simulação de Transitórios Hidráulicos com Bentley HAMMER"
INC-00000004714;Hardware;Muito Baixa; O microfone do notebook não funciona sem uso do fone. Poderiam me ajudar nessa questão? Muito obrigado!!!
INC-00000004715;Microsoft 365 - Plano Businnes;Muito Baixa;Minha máquina está com o horário errado, e não consigo sincronizar
INC-00000004716;Hardware;Muito Baixa;A porta USB parou de funcionar, com isso estou sem o mouse
INC-00000004717;NetSuite - Faturamento e Cancelamento;Alta;Ao enviar um documento fiscal para certificação dá o seguinte erro no documento eletrônico: A requisição para o web service da autoridade fiscal foi bem-sucedida, mas o documento eletrônico foi rejeitado pela autoridade fiscal. Leia a resposta da autoridade fiscal: O documento XML de entrada do serviço esta fora do padrao especificado.
INC-00000004718;Acesso (conexão) Internet Belo Horizonte;Baixa;Equipamento sem acesso a internet
INC-00000004719;Autodesk - Architecture, Engineering & Construction Collection;Muito Baixa;Meu software não esta executado, acho q esta dando algum conflito na parte de execução.
INC-00000004720;Microsoft Power BI;Média;"No BI de ""Horas pendentes por responsável"" temos novamente: ""Job Leader indefinido"" e ""Coordenador por localidade indefinido."
INC-00000004721;Microsoft 365 - Plano Businnes;Baixa;"Autenticador Microsoft 
Não recebo o código enviado do link da Hydro no Autenticador"
INC-00000004722;ELFA;Muito Baixa;Controle do fluxo de processo de desenhos de engenharia - ELFA  - Arquivo, Inserir no motivo do retorno para o Líder as opções abaixo: - Sem documento nativo - Logo - Rótulo - Marcação de Revisão - Nome do arquivo - Assinatura - Cad licenciado
INC-00000004723;Hardware;Muito Baixa;O PC compartilhado da Blossom não está ligando.
INC-00000004724;Oracle NetSuite;Muito Alta;"Verificar a carga incompleta de Profissionais no NetSuite (entidade Funcionários).
O profissional “Rodrigo Alves de Oliveira” não está no NetSuite."
INC-00000004725;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;O onedrive da Blossom não está aparecendo
INC-00000004726;Teams;Muito Baixa;Meu microfone parou de funcionar, então não consigo fazer chamadas.
INC-00000004727;Microsoft Power BI;Média;O Power BI referente a vagas não esta atualizando.
INC-00000004728;Teams;Muito Baixa;não consigo falar no teams
INC-00000004729;Oracle NetSuite;Muito Alta;"Na carga que realizamos em 18.03.2025 não foram gerados os dados do Contratado (PJ) “Rodrigo Alves de Oliveira”.
Foi necessário gerar uma planilha manualmente com os dados do usuário para a carga no NetSuite."
INC-00000004730;NetSuite - Pedido de Compra;Baixa;"Classificação: Compras ao Pagamento
Serviço: Ordem de Compra
Descrição: Informo que não estou conseguindo excluir o Recebimento do Item."
INC-00000004731;Microsoft 365 - Plano Businnes;Muito Baixa;Toda hora que acesso word / excel pede senha para logar no Microsoft e tem hora que não deixa eu continuar editando, tenho que salvar como o arquivo para conseguir editar, passa alguns minutos e pede senha novamente, ver imagens
INC-00000004732;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;Meu one drive atingiu o limite, já limpei lixeira e outros arquibos, mas não libera espaço.
INC-00000004733;Hardware;Baixa;"Microsoft Outlook (E-mail) aparece ""Não está respondendo"" 
O Teams nem está abrindo também."
INC-00000004734;Hardware;Baixa;Não estou conseguindo abrir meu Illustrator no PC de torre, podem me ajudar a verificar por favor? Tentei atualizar duas vezes, mas consta falha na atualização.
INC-00000004735;ELFA;Baixa;O ELFA está constantemente caindo e dando tela amarela
INC-00000004736;Foxit;Muito Baixa;Solicito suporte para solucionar problema para abrir arquivos em pdf
INC-00000004737;Microsoft Outlook;Muito Baixa;"e-mails estão na caixa de saída (desde ontem) e o progresso de envio/recebimento parece que está ""parado"""
INC-00000004738;Hardware;Muito Baixa;Necessário liberar espaço da máquina
INC-00000004739;Foxit;Muito Baixa;não consigo salvar o documento em pdf
INC-00000004740;Repositório de arquivos - SharePoint e OneDrive;Muito Baixa;Meu Ondriver está com erro , não consigo carregar pastas A Karine precisa dessas pastas para gerar admissão
INC-00000004741;Hardware;Muito Baixa;Em dois dias, tive 2 eventos de desligamento repentino do computador durante uma chamada teams.,
INC-00000004742;ELFA;Muito Baixa;"Foi implementado no Elfa na avaliação de comentários do cliente, a opção de enviar para outra disciplina o comentário do cliente. Porém essa implementação não foi retratada no relatório do módulo da qualidade. Os documentos que são de ""Origem de outra disciplina"" ficam como Não se Aplica na coluna T do relatório. E no relatório não tem coluna informando que disciplina avaliou e quem avaliou. Como exemplo, no relatório em anexo, marquei 3 documentos em azul na coluna D onde os comentários foram avaliados por outra disciplina."
